name,headline,year,product,category,subject,publication,medium,format,link,description,location,company
Catalog for Spring and Summer 1915,Catalog for Spring and Summer 1915,1915,clothes (children),Advertising Ephemera Collection,"Children', 'Price List', 'Clothing",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4cn70p4k,"""featuring pretty and practical garments for boys and girls.""",,Stuart Co.
Dainty Desserts for Dainty People,,1915,Knox Sparkling Gelatine,Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children', 'African/African-American', 'Gelatin/Puddings",,,advertisements,https://idn.duke.edu/ark:/87924/r4w95299b,"""Racial content: one white and one African-American child on cover. Interior illustrations of elegant Colonial-era ladies and gentlemen. Cookbook includes an insert with two more recipes. Images of each page from this item are available. Chapter headings:  Knox Dainty Desserts for Dainty People -  Hints on Serving; Recipes -  Index of Recipes; Recipes (cont.) -  Cold Desserts -  Frozen Desserts -  Salads and Savories; Candies -  Candies (cont.) -  For the Invalid and Convalescent's Tray -  Additional Uses for Knox Gelatine.""",,Charles B. Knox Co.
Dry cold air actually injures the skin.,Dry cold air actually injures the skin.,1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4mw2b466,,,"""Pond's Extract Co."""
Faction to Wearer at Wholesale Price,Faction to Wearer at Wholesale Price,1915,boots and shoes,Advertising Ephemera Collection,Boots and Shoes,,,advertisements,https://idn.duke.edu/ark:/87924/r47d2rx7q,,,Anderson Shoe Co.
For Christmas--your photograph.,For Christmas--your photograph.,1915,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),,Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4h709q3q,,,Kodak
"For Sunburn, Windburn, for Protection against Dust and other Skin irritants Use Pond's  Vanishing Cream","For Sunburn, Windburn, for Protection against Dust and other Skin irritants Use Pond's  Vanishing Cream",1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4d21t85s,,,"""Pond's Extract Co."""
For the boy- A Kodak,For the boy- A Kodak,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Companion,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4hx17h7d,,,Kodak
Fragrant as a rose,Fragrant as a rose,1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r47d2s160,,,"""Pond's Extract Co."""
"Gleaming, soft, smooth skin","Gleaming, soft, smooth skin",1915,"""Pond's Vanishing Cream""","""Pond's""","Premiums', 'Testimonial--Pavlowa",unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r46w9818x,,,"""Pond's Extract Co."""
"Gleaming, soft, smooth skin","Gleaming, soft, smooth skin",1915,"""Pond's Vanishing Cream""","""Pond's""","Premiums', 'Testimonial--Pavlowa",unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4z89472p,,,"""Pond's Extract Co."""
Good Morning!,Good Morning!,1915,"""Kellogg's Toasted Corn Flakes""",Advertising Ephemera Collection,"Children', 'Food",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4v40mq7f,,,"""Kellogg's Toasted Corn Flake Co."""
Graflex Cameras,Graflex Cameras,1915,Graflex cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Literary Digest,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4p55g90q,,,Kodak
Graflex Cameras,Graflex Cameras,1915,Graflex cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Scientific American,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4222sz7k,,,Kodak
Graflex Cameras,Graflex Cameras,1915,Graflex cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Literary Digest,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4jw88c7n,,,Kodak
Holidays are Kodak Days,Holidays are Kodak Days,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,Farm Journal,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4707zf09,,,Kodak
How to protect your skin from March winds,How to protect your skin from March winds,1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r49p2xz1q,,,"""Pond's Extract Co."""
Keep a Kodak Baby Book,Keep a Kodak Baby Book,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Delineator,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4445k51b,,,Kodak
Keep a Kodak Baby Book,Keep a Kodak Baby Book,1915,Kodak Baby Book,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",unknown,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r48050b8s,"""Color"" photograph.  Information on writing away for free booklet ""At Home with the Kodak""",,Kodak
Kodak,Kodak,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),,"""Ladies' Home Journal""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4b56fw06,,,Kodak
Make Your Kodak Autographic,Make Your Kodak Autographic,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,"""Harper's""",magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4g738v3x,,,Kodak
Make the Kodak record Autographic--Authentic,Make the Kodak record Autographic--Authentic,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4sf2p48c,,,Kodak
Official Miniature View Book: Over 150 Views,Official Miniature View Book: Over 150 Views,1915,Panama Pacific International Expo,Advertising Ephemera Collection,"Expositions, Fairs, etc.",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4mg7hj7w,selected images of exposition from booklet.,,Panama Pacific International Exposition
Opera or Dinner,Opera or Dinner,1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,"""Woman's Home Companion""",magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bk18g4x,,,"""Pond's Extract Co."""
Out-Of-Doors-Days,Out-Of-Doors-Days,1915,Premo cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,American Magazine,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r48w39w20,Premo advertisement,,Kodak
Polly and Peter Ponds,Polly and Peter Ponds,1915,"""Pond's Extract""","""Pond's""",Children,St. Nicholas,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4db7xd5v,Two page ad.,,"""Pond's Extract Co."""
Polly and Peter Ponds,Polly and Peter Ponds,1915,"""Pond's Extract""","""Pond's""","Children', 'Premiums', 'Sports",St. Nicholas,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4bz62z9t,"One page of a two page ad.  Second page is P0082.  Ad includes application for children\'s ""Pond\'s Society""",,"""Pond's Extract Co."""
Polly and Peter Ponds,Polly and Peter Ponds,1915,"""Pond's Extract""","""Pond's""","Children', 'Premiums', 'Sports",St. Nicholas,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r46d5r18c,Second page of a two page ad. First page is P0081,,"""Pond's Extract Co."""
Popular Premo Junior Camera,Popular Premo Junior Camera,1915,Premo Jr. cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums","""Today's Magazine""",magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r44j0cp48,"""Today's magazine is giving away cameras, in addition to other prizes, for selling copies of or subscriptions to Today's Magazine.""",,Kodak
Productive Advertising,,1915,,Early Advertising Publications,Children,,,advertisements,https://idn.duke.edu/ark:/87924/r46971m81,"Includes many examples of advertisements; E #16201. Images of selected pages from this item are available. Chapter headings:  Chapter I. The Advertiser, His Article and People. Pages 13 - 16 -  Chapter I. Pages 17 - 23 -  Chapter III. Instincts: Pages 38 - 45 -  Chapter III. Instincts: Pages 46 - 53.",,"Loose-Wiles Biscuit Company', 'International Correspondence Schools', 'New Skin', 'Buster Brown', ""Pozzoni's"", 'Ben. Levy Co.', 'The Welch Grape Juice Company', 'The Andrew Jergens Co.', 'Victor Phonograph', 'Haddorff Pianos', 'The White Mountain Freezer Co.', 'Marlin Shotguns', 'Adler Rochester Overcoats', 'Styleplus Clothes', 'Oelrichs & Co. General Agents', ""Campbell's Soups"", ""Morse's Milk Chocolate Creams"", 'Ivory Soap', 'American Bankers Association Cheques', 'Edison Mazda light bulb', 'Lehigh Valley Railroad', 'Stylish Stouts', 'Virginia College for Women', 'Martha Washington Seminary for Young Women', 'Star Gold and Silver Plating Works, Inc.', 'A. A. Lupien Mesh Bags', 'The Craftsman magazine', 'American Car and Foundry', 'N. K. Fairbank Company Fairy Soap', 'Cortland Motor Wagons', 'J. R. Wood & Sons Diamond Cutters', 'Japan Paper Company', 'The Osco Routing Machine', 'Gatchel and Manning Printers', 'Z. L. White & Co.', ""Dean's Wedding Stationary Department"", ""Melville Clark Company's Apollo Player Piano"", 'Big Ben alarm clock', 'Good Housekeeping Magazine', 'The Sheldon School', 'Burnham & Morrill Fish Flakes', ""Los Angeles Examiner's Free Information Bureau"", 'Seth Thomas Clocks', 'The Quaker Oats Company', 'Continental Motors', 'Dutch Boy White Lead', 'Elgin Watches', 'Postum', 'The Perfection Heater', 'American Telephone and Telegraph Company', 'Babson Statistical Organization', 'Resinol Soap', 'Victrola', 'Cosmopolitan Magazine', 'Ludowici-Celadon Roofing Tiles Company"
See what one application will do!,See what one application will do!,1915,"""Pond's Vanishing Cream""","""Pond's""","Premiums', 'Famous People--Madame Emmy Destinn",unknown,magazines (periodicals),"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r47s7kj8w,10 other famous women listed,,"""Pond's Extract Co."""
Send 4 cents for two weeks' supply.  See for yourself what one application will do!,Send 4 cents for two weeks' supply.  See for yourself what one application will do!,1915,"""Pond's Vanishing Cream""","""Pond's""","Premiums', 'Famous People--various', 'Testimonial--Jane Cowl and Emmy Destinn",unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4h41md28,"Other famous users are Mrs. Fiske, Julia Sanderson, Julie Opp, Rose Stahl, Frances Starr, Jane Cowl, Tetrazzini, Violet Van Brugh, Nielson-Terry, and Pavlowa.",,"""Pond's Extract Co."""
Send to-day for sample tube FREE,Send to-day for sample tube FREE,1915,"""Pond's Vanishing Cream""","""Pond's""","Children', 'Premiums', 'Testimonial--Pavlowa",unknown,magazines (periodicals),"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4765c62d,,,"""Pond's Extract Co."""
Take a Kodak with you,Take a Kodak with you,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Companion,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4w08z848,,,Kodak
Take a Kodak with you,Take a Kodak with you,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Time,magazines (periodicals),"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4348j781,,,Kodak
The Business of Advertising,,1915,,Early Advertising Publications,"Children', 'Military', 'Famous People--Cyrus H. K. Curtis",,,advertisements,https://idn.duke.edu/ark:/87924/r4765c45z,"E#17895. Images of selected pages from this item are available. Chapter headings:  I. What is Advertising: Sections 1 - 2 -  I. What is Advertising: Sections 3 - 5 -  I. What is Advertising: Sections 6 - 7  -  I. What is Advertising: Sections 8 - 9 -  II. Sellers of Space -  III. Sellers of Advertising - Advertising Agency Chart -  V.  The Necessary Steps for Marketing a New Product: Sections 6 - 7 includes trademark, box, and signature illustrations -  V.  The Necessary Steps for Marketing a New Product: Sections 8 - 11  -  IX. Advertising as a Profession -  Appendix C. Advertising Organizations -  Appendix D. A Business Library.",,"Montgomery Ward & Co.', 'Curtis Publishing Co.', 'Gordon Hosiery', 'Public Ledger', 'Cluett', 'Century Magazine', 'Edison', 'American Magazine', ""Ladies' Home Journal"", 'Eaton', 'Crane & Pike Portfolio', 'Kirschbaum', 'Brown Durrell Sherwin-Williams Co.', 'American Felt Co.', 'Pierce-Arrow', 'Highland Linen', 'Yale & Towne', 'United Cigar Stores', 'New Jersey Zinc Co.', 'Wanamaker', 'Selfridge', 'American Telephone and Telegraph Company', 'Borden', 'Crofut & Knapp"
The Invisible Protection,The Invisible Protection,1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4r49j14p,,,"""Pond's Extract Co."""
The Makers Of History,The Makers Of History,1915,,Broadsides Collection,"Price List', 'Books",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r45m63w8v,Scanned in 4 images in order to get complete lines in.  Names many famous figures of History in the ad.,,Funk & Wagnalls Co.
The New 3A Kodak,The New 3A Kodak,1915,"Kodak camera, No. 3A",Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4q816g5w,,,Kodak
The New Folding Autographic Brownie,The New Folding Autographic Brownie,1915,Autographic Brownie cameras (folding),Ellis Collection of Kodakiana (1886-1923),,Scientific American,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4610xj0m,,,Kodak
"The No. 1 Autographic Kodak, Junior","The No. 1 Autographic Kodak, Junior",1915,"Autographic Kodak Jr. camera, No.1",Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4hx17j3x,,,Kodak
"The No. 1 Autographic Kodak, Junior","The No. 1 Autographic Kodak, Junior",1915,"Autographic Kodak Jr. camera, No.1",Ellis Collection of Kodakiana (1886-1923),,Saturday Evening Post,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4833pn8c,,,Kodak
The Story of Carnation Milk,,1915,Carnation Milk,Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children', 'Dairy Products",,,advertisements,https://idn.duke.edu/ark:/87924/r4k06zp62,"importance of milk, from ""contented cows;"" directions on using for infants. Images of each page from this item are available. Chapter headings:  Pages 2 - 3: The Story of Carnation Milk -  Pages 4 - 5: Breads; Frozen Desserts; Beverages; Carnation Milk Sandwich Filling -  Pages 6 - 7: Breads; Individual Dishes -  Pages 8 - 9: Creamed Dishes; Puddings -  Pages 10 - 11: Creamed Dishes; Individual Dishes; In Chafing Dish -  Pages 12 - 13: Soups; Breads; Puddings; Pies; Beverages -  Pages 14 - 15: Breads; Cakes; Icings/Fillings; Frozen Desserts -  Pages 16 - 17: Illustrations of Prepared Recipes -  Pages 18 - 19: Creamed Dishes; Meat/Gravy Dishes; Breads; Cakes; Icings/Fillings; Individual Dishes -  Pages 20 - 21: Soups; Breads; Icings/Fillings; Frozen Desserts; Individual Dishes; Carnation Milk Sandwich Filling -  Pages 22 - 23: Breads; Puddings; Frozen Desserts -  Pages 24 - 25: Salads; Puddings; Frozen Desserts; Beverages -  Pages 26 - 27: Pies; Icings/Fillings; Candy -  Pages 28 - 29: Soups; Creamed Dishes; Sauces; Meat/Gravy Dishes; Salads; Icings/Fillings -  Pages 30 - 31: Beverages; For Babies and Children; Time Tables for Cooking -  Back Cover.",,Carnation Milk Products Co.
The Story of the Kodak Album,The Story of the Kodak Album,1915,Kodak Album,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Companion,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4513wn68,Kids with Mother and Grandparents.,,Kodak
The always welcome gift-- A Kodak,The always welcome gift-- A Kodak,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums",Literary Digest,magazines (periodicals),"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r45719f3d,,,Kodak
The always welcome gift-- A Kodak,The always welcome gift-- A Kodak,1915,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),Premiums,Review of Reviews,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r40g3jr0h,,,Kodak
There are no game laws for those who hunt with a Kodak,There are no game laws for those who hunt with a Kodak,1915,Kodak cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,unknown,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4513wk5w,"""Color"" photograph",,Kodak
There's a photographer in your town,There's a photographer in your town,1915,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),,Saturday Evening Post,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4w37nk5q,,,Kodak
This is the camera Premoette Jr.  This is the picture and this is the price $5.00,This is the camera Premoette Jr.  This is the picture and this is the price $5.00,1915,Premoette Jr. cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,"""Collier's Weekly""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r44m9338c,Premo advertisement,,Kodak
Try this - see what happens!,Try this - see what happens!,1915,"""Pond's Vanishing Cream""","""Pond's""",Premiums,unknown,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4v40mp9z,,,"""Pond's Extract Co."""
Who?  When?  Where?,Who?  When?  Where?,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,"""Ladies' Home Journal""",magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r44j0cq6p,,,Kodak
Write it on the film -- at the time.,Write it on the film -- at the time.,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,"""Ladies' Home Journal""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4v40ms3d,,,Kodak
Write it on the film -- at the time.,Write it on the film -- at the time.,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums","""Woman's Home Companion""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r43777n5w,"""Color"" photograph",,Kodak
Write it on the film -- at the time.,Write it on the film -- at the time.,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,Country Life in America,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4h709p8p,,,Kodak
Write the data on the negative.,Write the data on the negative.,1915,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,"""Ladies' Home Journal""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r49z92322,,,Kodak
You can actually see the result.  One application shows it.,You can actually see the result.  One application shows it.,1915,"""Pond's Vanishing Cream""","""Pond's""","Premiums', 'Testimonial--Miss Julia Sanderson and Miss Jane Cowl",unknown,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4bz63175,,,"""Pond's Extract Co."""
Fall and Winter ...,Fall and Winter ...,1915 to 1916,"""women's suits""",Advertising Ephemera Collection,"Price List', 'Clothing",,,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r45t3hp3n,,,Stewart & Co.
Hotel Green,Hotel Green,circa 1915,Hotel Green,Advertising Ephemera Collection,"Resorts, Hotels, Travel",,,"advertisements', 'engravings (prints)",https://idn.duke.edu/ark:/87924/r4930qj17,Hotel Green owned by Col. G. G. Green. Building constructed in 1903. Had 550 rooms/375 baths.,,Hotel Green
"Practical Methods, Aids and Devices for Teachers","Practical Methods, Aids and Devices for Teachers",circa 1915,"Practical Methods, Aids and Devices for Teachers",Advertising Ephemera Collection,"Price List', 'Education",,,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4pz53b9w,,,F. A. Owen Publishing Co.
Saluda North Carolina,Saluda North Carolina,circa 1915,railway,Advertising Ephemera Collection,Railroads,,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4zp3xr38,train schedule listed.  Found in Commercial and Trade Organizations folder.,,Saluda Board of Trade
Souvenir Roses,Souvenir Roses,circa 1915,Golden State Butter roses,Advertising Ephemera Collection,"Expositions, Fairs, etc.",,,"advertisements', 'color drawings",https://idn.duke.edu/ark:/87924/r4k35p45r,ad for roses made of butter exhibited at the Panama-Pacific International Exposition,,California Central Creameries
"""Fishing for Suckers""",,1916,,Early Advertising Publications,,,,advertisements,https://idn.duke.edu/ark:/87924/r47h1g932,"Images of each page from this item are available. Chapter headings:  Preface -  A View of the Subject -  Photos of the Nude -  Rich, Rare and Racy Books -  Making Money in the Mail Order Mint -  Bibliography.",,
205 Broad Street,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4fx75q11,,,Kelly-Springfield Tires
A Famous Skin Specialist says -,A Famous Skin Specialist says -,1916,"""Pond's Vanishing Cream""","""Pond's""",Premiums,"""Woman's Home Companion""",magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4hh6dw56,one of multiple publications,,"""Pond's Extract Co."""
A happy Christmas thought--Kodak,A happy Christmas thought--Kodak,1916,Kodak and Brownie cameras,Ellis Collection of Kodakiana (1886-1923),Premiums,"""Ladies' Home Journal""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r42b8x25n,,,Kodak
A new Kodak in a new size,A new Kodak in a new size,1916,"Autographic Kodak Jr. camera, No. 2c",Ellis Collection of Kodakiana (1886-1923),,Independent,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r49k47h1b,,,Kodak
A real camera for seventy-five cents!,A real camera for seventy-five cents!,1916,"Cartridge Premo camera, No. 00",Ellis Collection of Kodakiana (1886-1923),,Companion,magazines (periodicals),"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4m32q28w,,,Kodak
All Kodak Film is now Speed Film,All Kodak Film is now Speed Film,1916,Kodak film,Ellis Collection of Kodakiana (1886-1923),,"""Scribner's Magazine Advertiser""",magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4fq9rz4b,,,Kodak
An Institution,An Institution,1916,Eastman Kodak Company,Ellis Collection of Kodakiana (1886-1923),,Independent,magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4jh3fr8f,,,Kodak
Atlantic City Meadows,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4cn70p90,,,"Tech Beer', 'DuPont"
Autographic Kodak,Autographic Kodak,1916,Autographic cameras,Ellis Collection of Kodakiana (1886-1923),"Children', 'Premiums","""Ladies' Home Journal""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4nz82d8q,,,Kodak
Boardwalk,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4db7xh75,Crowd at time of Easter holiday. Bath-cars used for transportation.,,"""Wrigley's"", 'Atlantic City Fire Insurance Co.', 'Coca-Cola', ""Mennen's"""
Boardwalk,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4cr5q24g,,,"""Wrigley's"", 'Atlantic City Fire Insurance Co.', 'Cafֳƒֲ© Beaux Arts', 'Fatima Cigarettes"
Boardwalk,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4mw2b555,"3 wheeled, man powered bath-cars transport people along boardwalk.",,"Bromo-Seltzer', 'Gold Medal Flour"
Boardwalk,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r40p0zf1v,"piece cut out (censored?) from sign. Picture taken during Easter holiday. A Broadway Theater production noted: ""Robinson Crusoe, Jr."" with Al Jolson",,"Broadway Theaters', 'Foreign Apparel ""Brand"" Importer""', ""Waterman's Pens"""
Broad and Cambria Streets,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4pn9068s,,,"""Horlick's Malted Milk"", 'Kirschbaum Clothes"
Broad and Cambria Streets,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4n874r6s,photograph taken from station platform,,"""Horlick's Malted Milk"", 'Kirschbaum Clothes"
Broadway and 262nd St,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r4fx75p9f,trolley cars run through city; much of city undeveloped and still rural.,,Longue Vue Hotel
Broadway and 262nd Street,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r47h1gd4w,,,"Wesson Oil', 'Fatima Cigarettes', 'Clover Leaf Salmon"
Don't say woolens can't be washed in hot water,Don't say woolens can't be washed in hot water,1916,Lux (laundry flakes),"""Lever Brothers' Lux Soap (Flakes)""",,unknown,newspapers,"advertisements', 'black-and-white drawings",https://idn.duke.edu/ark:/87924/r4z031085,,,Lever Bros.
East North Hampton Street and Square,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r42n51683,Horse Drawn carriages as well as motor cars present. Many American flags hung.,,"""Mason's Shoe Dressings"""
European Advertising,European Advertising,1916,Advertising by Sociֳƒֲ©te Europֳƒֲ©enne De Publicitֳƒֲ©,"J. Walter Thompson Company ""House Ads"" (1899-1925)",,"""Printers' Ink""",magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r49k47h8q,* Part of Proof Collection,,J. Walter Thompson Company
Excellent Recipes for Baking Raised Breads,,1916,"""Fleischmann's Yeast""",Nicole Di Bona Peterson Collection of Advertising Cookbooks,"Children', 'European', 'Baking",,,advertisements,https://idn.duke.edu/ark:/87924/r4gx46h2d,"""Dutch"" girl on cover, back cover shows man made of bread-- ""John Dough, raised on Fleischmann\'s yeast."" Images of selected pages from this item are available. Chapter headings:  Bread -  Buns; Desserts, Rusks and Rings -  Cake; Desserts, Rusks and Rings; Rolls and Biscuits -  Muffins -  Summer Drinks -  Valuable Hints (continued under Bread) -  Index.",,Fleischmann Co.
Factor and Broad Streets,,1916,,R. C. Maxwell Company Collection,,,,advertisements,https://idn.duke.edu/ark:/87924/r43f4nc75,,,Philadelphia Bargain Store
Free!,Free!,1916,"""Pond's Cold Cream and Vanishing Cream""","""Pond's""","Premiums', 'Testimonial--Elsie Janus, Frances Starr, Pavlowa","""Woman's Home Companion""",magazines (periodicals),"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4m040m83,Compares Cold Cream and Vanishing Cream,,"""Pond's Extract Co."""
Free! Write for samples of these two creams today,Free! Write for samples of these two creams today,1916,"""Pond's Cold Cream and Vanishing Cream""","""Pond's""","Premiums', 'Famous People--various', 'Testimonial--Frances Starr, Pavlowa, Norma Talmadge",Chicago Tribune,newspapers,"advertisements', 'photographs",https://idn.duke.edu/ark:/87924/r4qz24648,"Some famous users are Frances Starr, Elsie Ferguson, Marie Tempest, Norma Talmadge, Mrs. Fiske, Constance Collier, Jane Cowl, Pavlowa, Pauline Frederick, Julia Sanderson, Tetrazsini,  Emmy Destinn.",,"""Pond's Extract Co."""
